-2.27	1.18916	1.18918
-2.26	1.21359	1.21361
-2.25	1.23863	1.23865
-2.24	1.26429	1.26431
-2.23	1.29061	1.29062
-2.22	1.31761	1.31763
-2.21	1.34534	1.34536
-2.2	1.37382	1.37384
-2.19	1.4031	1.40312
-2.18	1.43321	1.43323
-2.17	1.4642	1.46422
-2.16	1.4961	1.49613
-2.15	1.52898	1.529
-2.14	1.56288	1.5629
-2.13	1.59785	1.59788
-2.12	1.63396	1.63399
-2.11	1.67127	1.6713
-2.1	1.70985	1.70987
-2.09	1.74977	1.7498
-2.08	1.79111	1.79114
-2.07	1.83396	1.83399
-2.06	1.87841	1.87844
-2.05	1.92456	1.92459
-2.04	1.97252	1.97256
-2.03	2.02242	2.02246
-2.02	2.07437	2.07441
-2.01	2.12853	2.12857
-2	2.18504	2.18508
-1.99	2.24408	2.24412
-1.98	2.30582	2.30587
-1.97	2.37048	2.37053
-1.96	2.43828	2.43834
-1.95	2.50948	2.50953
-1.94	2.58433	2.58439
-1.93	2.66316	2.66322
-1.92	2.7463	2.74636
-1.91	2.83414	2.8342
-1.9	2.9271	2.92717
-1.89	3.02566	3.02574
-1.88	3.13038	3.13046
-1.87	3.24187	3.24195
-1.86	3.36083	3.36092
-1.85	3.48806	3.48816
-1.84	3.62449	3.62459
-1.83	3.77118	3.77129
-1.82	3.92937	3.92949
-1.81	4.1005	4.10063
-1.8	4.28626	4.2864
-1.79	4.48866	4.48882
-1.78	4.71009	4.71026
-1.77	4.95341	4.9536
-1.76	5.22209	5.2223
-1.75	5.52038	5.52061
-1.74	5.85353	5.85379
-1.73	6.2281	6.2284
-1.72	6.65244	6.65277
-1.71	7.13726	7.13764
-1.7	7.6966	7.69704
-1.69	8.34923	8.34975
-1.68	9.12077	9.12139
-1.67	10.0472	10.0479
-1.66	11.1806	11.1815
-1.65	12.5993	12.6004
-1.64	14.427	14.4286
-1.63	16.8711	16.8732
-1.62	20.3073	20.3103
-1.61	25.4947	25.4995
-1.6	34.2325	34.2411
-1.59	52.067	52.0868
-1.58	108.649	108.736
-1.57	-1255.77	-1267.42
-1.56	-92.6205	-92.6834
-1.55	-48.0785	-48.0954
-1.54	-32.4611	-32.4689
-1.53	-24.4984	-24.5028
-1.52	-19.6695	-19.6724
-1.51	-16.4281	-16.4301
-1.5	-14.1014	-14.1029
-1.49	-12.3499	-12.351
-1.48	-10.9834	-10.9843
-1.47	-9.88737	-9.8881
-1.46	-8.98861	-8.98921
-1.45	-8.23809	-8.2386
-1.44	-7.60183	-7.60226
-1.43	-7.05546	-7.05584
-1.42	-6.58112	-6.58144
-1.41	-6.16536	-6.16564
-1.4	-5.79788	-5.79814
-1.39	-5.47069	-5.47091
-1.38	-5.17744	-5.17764
-1.37	-4.91306	-4.91324
-1.36	-4.67344	-4.67361
-1.35	-4.45522	-4.45537
-1.34	-4.25562	-4.25576
-1.33	-4.07231	-4.07244
-1.32	-3.90335	-3.90347
-1.31	-3.74708	-3.74719
-1.3	-3.6021	-3.6022
-1.29	-3.46721	-3.4673
-1.28	-3.34135	-3.34144
-1.27	-3.22363	-3.22372
-1.26	-3.11327	-3.11335
-1.25	-3.00957	-3.00964
-1.24	-2.91193	-2.912
-1.23	-2.81982	-2.81988
-1.22	-2.73275	-2.73282
-1.21	-2.65032	-2.65038
-1.2	-2.57215	-2.57221
-1.19	-2.4979	-2.49795
-1.18	-2.42727	-2.42732
-1.17	-2.35998	-2.36003
-1.16	-2.2958	-2.29584
-1.15	-2.2345	-2.23454
-1.14	-2.17588	-2.17592
-1.13	-2.11975	-2.11979
-1.12	-2.06596	-2.06599
-1.11	-2.01434	-2.01437
